Latest Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,`Main.Time.Day[1]`,`Main.DancerAngle.deg`,`Main.NR1.w`,`Main.NR1_Velocity.'m/s'[1]`,`Main.NR2.w`,`Main.NR2_Velocity.'m/s'[1]`,`Main.PistonPressure.Pa`,`Main.WS1.vout`,`Main.WS2.v`,`Main.WS1.Tin`,`Main.WS2.T`,`Main.R1.summary_SlipVelocity`,`Main.R2.summary_SlipVelocity`,`Main.R3.summary_SlipVelocity`,`Main.R4.summary_SlipVelocity`,`Main.R5.summary_SlipVelocity`,`Main.R7.summary_SlipVelocity`,`Main.R8.summary_SlipVelocity`,`Main.R9.summary_SlipVelocity`,`Main.R10.summary_SlipVelocity`,`Main.R1.w`,`Main.R2.w`,`Main.R3.w`,`Main.R4.w`,`Main.R5.w`,`Main.R7.w`,`Main.R8.w`,`Main.R9.w`,`Main.R10.w`,`Main.S1.summary_Tension`,`Main.S2.summary_Tension`,`Main.S3.summary_Tension`,`Main.S4.summary_Tension`,`Main.S5.summary_Tension`,`Main.S6.summary_Tension`,`Main.S7.summary_Tension`,`Main.S8.summary_Tension`,`Main.S9.summary_Tension`,`Main.S10.summary_Tension`,`Main.S11.summary_Tension`,`Main.S12.summary_Tension`
19449.72486,0.225112556,-5.14609E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
20746.37319,0.24012006,-4.84262E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
22043.02151,0.255127564,1.44758E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,-2.22045E-16,-4.44089E-16,-2.22045E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
23339.66983,0.270135068,-1.70756E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,2.22045E-16,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
24636.31816,0.285142571,1.73583E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
25932.96648,0.300150075,5.19237E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-3.33067E-16,-3.33067E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,-2.22045E-16,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
27229.61481,0.315157579,-5.73116E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
28526.26313,0.330165083,-9.44675E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
29822.91146,0.345172586,-4.32701E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,2.22045E-16,-2.22045E-16,0,0,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
31119.55978,0.36018009,1.62753E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,2.22045E-16,0,2.22045E-16,-1.11022E-16,-1.11022E-16,2.22045E-16,2.22045E-16,0,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
